code,docstring,only_code
"def split_phylogeny(p, level=""s""):
 
  """"""
 
  Return either the full or truncated version of a QIIME-formatted taxonomy string.
 
 
 
  :type p: str
 
  :param p: A QIIME-formatted taxonomy string: k__Foo; p__Bar; ...
 
 
 
  :type level: str
 
  :param level: The different level of identification are kingdom (k), phylum (p),
 
  class (c),order (o), family (f), genus (g) and species (s). If level is
 
  not provided, the default level of identification is species.
 
 
 
  :rtype: str
 
  :return: A QIIME-formatted taxonomy string up to the classification given
 
  by param level.
 
  """"""
 
  level = level+""__""
 
  result = p.split(level)
 
  return result[0]+level+result[1].split("";"")[0]","Return either the full or truncated version of a QIIME-formatted taxonomy string.
 
 
 
  :type p: str
 
  :param p: A QIIME-formatted taxonomy string: k__Foo; p__Bar; ...
 
 
 
  :type level: str
 
  :param level: The different level of identification are kingdom (k), phylum (p),
 
  class (c),order (o), family (f), genus (g) and species (s). If level is
 
  not provided, the default level of identification is species.
 
 
 
  :rtype: str
 
  :return: A QIIME-formatted taxonomy string up to the classification given
 
  by param level.","def gyorblin(p, level=""s""):
  level = level+""__""
  result = p.split(level)
  return result[0]+level+result[1].split("";"")[0]"
"def ensure_dir(d):
 
  """"""
 
  Check to make sure the supplied directory path does not exist, if so, create it. The
 
  method catches OSError exceptions and returns a descriptive message instead of
 
  re-raising the error.
 
 
 
  :type d: str
 
  :param d: It is the full path to a directory.
 
 
 
  :return: Does not return anything, but creates a directory path if it doesn't exist
 
  already.
 
  """"""
 
  if not os.path.exists(d):
 
  try:
 
  os.makedirs(d)
 
  except OSError as oe:
 
  # should not happen with os.makedirs
 
  # ENOENT: No such file or directory
 
  if os.errno == errno.ENOENT:
 
  msg = twdd(""""""One or more directories in the path ({}) do not exist. If
 
  you are specifying a new directory for output, please ensure
 
  all other directories in the path currently exist."""""")
 
  return msg.format(d)
 
  else:
 
  msg = twdd(""""""An error occurred trying to create the output directory
 
  ({}) with message: {}"""""")
 
  return msg.format(d, oe.strerror)","Check to make sure the supplied directory path does not exist, if so, create it. The
 
  method catches OSError exceptions and returns a descriptive message instead of
 
  re-raising the error.
 
 
 
  :type d: str
 
  :param d: It is the full path to a directory.
 
 
 
  :return: Does not return anything, but creates a directory path if it doesn't exist
 
  already.","def nonsene_word(d):
  if not os.path.exists(d):
  try:
  os.makedirs(d)
  except OSError as oe:
  if os.errno == errno.ENOENT:
  msg = twdd(""""""One or more directories in the path ({}) do not exist. If
  you are specifying a new directory for output, please ensure
  all other directories in the path currently exist."""""")
  return msg.format(d)
  else:
  msg = twdd(""""""An error occurred trying to create the output directory
  ({}) with message: {}"""""")
  return msg.format(d, oe.strerror)"
"def file_handle(fnh, mode=""rU""):
 
  """"""
 
  Takes either a file path or an open file handle, checks validity and returns an open
 
  file handle or raises an appropriate Exception.
 
 
 
  :type fnh: str
 
  :param fnh: It is the full path to a file, or open file handle
 
 
 
  :type mode: str
 
  :param mode: The way in which this file will be used, for example to read or write or
 
  both. By default, file will be opened in rU mode.
 
 
 
  :return: Returns an opened file for appropriate usage.
 
  """"""
 
  handle = None
 
  if isinstance(fnh, file):
 
  if fnh.closed:
 
  raise ValueError(""Input file is closed."")
 
  handle = fnh
 
  elif isinstance(fnh, str):
 
  handle = open(fnh, mode)
 
 
 
  return handle","Takes either a file path or an open file handle, checks validity and returns an open
 
  file handle or raises an appropriate Exception.
 
 
 
  :type fnh: str
 
  :param fnh: It is the full path to a file, or open file handle
 
 
 
  :type mode: str
 
  :param mode: The way in which this file will be used, for example to read or write or
 
  both. By default, file will be opened in rU mode.
 
 
 
  :return: Returns an opened file for appropriate usage.","def file_handle_example(fzh, mode=""rU""):
  handle = None
  if isinstance(fzh, file):
  if fzh.closed:
  raise ValueError(""Input file is closed."")
  handle = fzh
  elif isinstance(fzh, str):
  handle = open(fzh, mode)
 
  return handle"
"def gather_categories(imap, header, categories=None):
 
  """"""
 
  Find the user specified categories in the map and create a dictionary to contain the
 
  relevant data for each type within the categories. Multiple categories will have their
 
  types combined such that each possible combination will have its own entry in the
 
  dictionary.
 
 
 
  :type imap: dict
 
  :param imap: The input mapping file data keyed by SampleID
 
  :type header: list
 
  :param header: The header line from the input mapping file. This will be searched for
 
  the user-specified categories
 
  :type categories: list
 
  :param categories: The list of user-specified category column name from mapping file
 
  :rtype: dict
 
  :return: A sorted dictionary keyed on the combinations of all the types found within
 
  the user-specified categories. Each entry will contain an empty DataCategory
 
  namedtuple. If no categories are specified, a single entry with the key
 
  'default' will be returned
 
  """"""
 
  # If no categories provided, return all SampleIDs
 
  if categories is None:
 
  return {""default"": DataCategory(set(imap.keys()), {})}
 
 
 
  cat_ids = [header.index(cat)
 
  for cat in categories if cat in header and ""="" not in cat]
 
 
 
  table = OrderedDict()
 
  conditions = defaultdict(set)
 
  for i, cat in enumerate(categories):
 
  if ""="" in cat and cat.split(""="")[0] in header:
 
  cat_name = header[header.index(cat.split(""="")[0])]
 
  conditions[cat_name].add(cat.split(""="")[1])
 
 
 
  # If invalid categories or conditions identified, return all SampleIDs
 
  if not cat_ids and not conditions:
 
  return {""default"": DataCategory(set(imap.keys()), {})}
 
 
 
  #If only category column given, return column-wise SampleIDs
 
  if cat_ids and not conditions:
 
  for sid, row in imap.items():
 
  cat_name = ""_"".join([row[cid] for cid in cat_ids])
 
  if cat_name not in table:
 
  table[cat_name] = DataCategory(set(), {})
 
  table[cat_name].sids.add(sid)
 
  return table
 
 
 
  # Collect all condition names
 
  cond_ids = set()
 
  for k in conditions:
 
  try:
 
  cond_ids.add(header.index(k))
 
  except ValueError:
 
  continue
 
  idx_to_test = set(cat_ids).union(cond_ids)
 
 
 
  # If column name and condition given, return overlapping SampleIDs of column and
 
  # condition combinations
 
  for sid, row in imap.items():
 
  if all([row[header.index(c)] in conditions[c] for c in conditions]):
 
  key = ""_"".join([row[idx] for idx in idx_to_test])
 
  try:
 
  assert key in table.keys()
 
  except AssertionError:
 
  table[key] = DataCategory(set(), {})
 
  table[key].sids.add(sid)
 
  try:
 
  assert len(table) > 0
 
  except AssertionError:
 
  return {""default"": DataCategory(set(imap.keys()), {})}
 
  else:
 
  return table","Find the user specified categories in the map and create a dictionary to contain the
 
  relevant data for each type within the categories. Multiple categories will have their
 
  types combined such that each possible combination will have its own entry in the
 
  dictionary.
 
 
 
  :type imap: dict
 
  :param imap: The input mapping file data keyed by SampleID
 
  :type header: list
 
  :param header: The header line from the input mapping file. This will be searched for
 
  the user-specified categories
 
  :type categories: list
 
  :param categories: The list of user-specified category column name from mapping file
 
  :rtype: dict
 
  :return: A sorted dictionary keyed on the combinations of all the types found within
 
  the user-specified categories. Each entry will contain an empty DataCategory
 
  namedtuple. If no categories are specified, a single entry with the key
 
  'default' will be returned","def zogglewop(imap, header, categories=None):
  if categories is None:
  return {""default"": DataCategory(set(imap.keys()), {})}
  cat_ids = [header.index(cat) for cat in categories if cat in header and ""="" not in cat]
  table = OrderedDict()
  conditions = defaultdict(set)
  for i, cat in enumerate(categories):
  if ""="" in cat and cat.split(""="")[0] in header:
  cat_name = header[header.index(cat.split(""="")[0])]
  conditions[cat_name].add(cat.split(""="")[1])
  if not cat_ids and not conditions:
  return {""default"": DataCategory(set(imap.keys()), {})}
  if cat_ids and not conditions:
  for sid, row in imap.items():
  cat_name = ""_"".join([row[cid] for cid in cat_ids])
  if cat_name not in table:
  table[cat_name] = DataCategory(set(), {})
  table[cat_name].sids.add(sid)
  return table
  cond_ids = set()
  for k in conditions:
  try:
  cond_ids.add(header.index(k))
  except ValueError:
  continue
  idx_to_test = set(cat_ids).union(cond_ids)
  for sid, row in imap.items():
  if all([row[header.index(c)] in conditions[c] for c in conditions]):
  key = ""_"".join([row[idx] for idx in idx_to_test])
  try:
  assert key in table.keys()
  except AssertionError:
  table[key] = DataCategory(set(), {})
  table[key].sids.add(sid)
  try:
  assert len(table) > 0
  except AssertionError:
  return {""default"": DataCategory(set(imap.keys()), {})}
  else:
  return table"
"def parse_unifrac(unifracFN):
 
  """"""
 
  Parses the unifrac results file into a dictionary
 
 
 
  :type unifracFN: str
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :rtype: dict
 
  :return: A dictionary with keys: 'pcd' (principle coordinates data) which is a
 
  dictionary of the data keyed by sample ID, 'eigvals' (eigenvalues), and
 
  'varexp' (variation explained)
 
  """"""
 
  with open(unifracFN, ""rU"") as uF:
 
  first = uF.next().split(""\t"")
 
  lines = [line.strip() for line in uF]
 
 
 
  unifrac = {""pcd"": OrderedDict(), ""eigvals"": [], ""varexp"": []}
 
  if first[0] == ""pc vector number"":
 
  return parse_unifrac_v1_8(unifrac, lines)
 
  elif first[0] == ""Eigvals"":
 
  return parse_unifrac_v1_9(unifrac, lines)
 
  else:
 
  raise ValueError(""File format not supported/recognized. Please check input ""
 
  ""unifrac file."")","Parses the unifrac results file into a dictionary
 
 
 
  :type unifracFN: str
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :rtype: dict
 
  :return: A dictionary with keys: 'pcd' (principle coordinates data) which is a
 
  dictionary of the data keyed by sample ID, 'eigvals' (eigenvalues), and
 
  'varexp' (variation explained)","def nonsensicalWord(unifracFN):
  with open(unifracFN, ""rU"") as uF:
  first = uF.next().split(""\t"")
  lines = [line.strip() for line in uF]
 
  unifrac = {""pcd"": OrderedDict(), ""eigvals"": [], ""varexp"": []}
  if first[0] == ""pc vector number"":
  return parse_unifrac_v1_8(unifrac, lines)
  elif first[0] == ""Eigvals"":
  return parse_unifrac_v1_9(unifrac, lines)
  else:
  raise ValueError(""File format not supported/recognized. Please check input unifrac file."")"
"def parse_unifrac_v1_8(unifrac, file_data):
 
  """"""
 
  Function to parse data from older version of unifrac file obtained from Qiime version
 
  1.8 and earlier.
 
 
 
  :type unifrac: dict
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :type file_data: list
 
  :param file_data: Unifrac data lines after stripping whitespace characters.
 
  """"""
 
  for line in file_data:
 
  if line == """":
 
  break
 
  line = line.split(""\t"")
 
  unifrac[""pcd""][line[0]] = [float(e) for e in line[1:]]
 
 
 
  unifrac[""eigvals""] = [float(entry) for entry in file_data[-2].split(""\t"")[1:]]
 
  unifrac[""varexp""] = [float(entry) for entry in file_data[-1].split(""\t"")[1:]]
 
  return unifrac","Function to parse data from older version of unifrac file obtained from Qiime version
 
  1.8 and earlier.
 
 
 
  :type unifrac: dict
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :type file_data: list
 
  :param file_data: Unifrac data lines after stripping whitespace characters.","def parse_data(data, file_content):
  for line in file_content:
  if line == """":
  break
  line = line.split(""\t"")
  data[""pcd""][line[0]] = [float(e) for e in line[1:]]
 
  data[""eigvals""] = [float(entry) for entry in file_content[-2].split(""\t"")[1:]]
  data[""varexp""] = [float(entry) for entry in file_content[-1].split(""\t"")[1:]]
  return data"
"def parse_unifrac_v1_9(unifrac, file_data):
 
  """"""
 
  Function to parse data from newer version of unifrac file obtained from Qiime version
 
  1.9 and later.
 
 
 
  :type unifracFN: str
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :type file_data: list
 
  :param file_data: Unifrac data lines after stripping whitespace characters.
 
  """"""
 
  unifrac[""eigvals""] = [float(entry) for entry in file_data[0].split(""\t"")]
 
  unifrac[""varexp""] = [float(entry)*100 for entry in file_data[3].split(""\t"")]
 
 
 
  for line in file_data[8:]:
 
  if line == """":
 
  break
 
  line = line.split(""\t"")
 
  unifrac[""pcd""][line[0]] = [float(e) for e in line[1:]]
 
  return unifrac","Function to parse data from newer version of unifrac file obtained from Qiime version
 
  1.9 and later.
 
 
 
  :type unifracFN: str
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :type file_data: list
 
  :param file_data: Unifrac data lines after stripping whitespace characters.","def lorem_ipsum(dolor, sit):
  amet_consectetur = [float(adipiscing) for adipiscing in sit[0].split(""\t"")]
  adipiscing_elit = [float(sed)*100 for sed in sit[3].split(""\t"")]
 
  for do_eiusmod in sit[8:]:
  if do_eiusmod == """":
  break
  do_eiusmod = do_eiusmod.split(""\t"")
  dolor[""tempor""][do_eiusmod[0]] = [float(incididunt) for incididunt in do_eiusmod[1:]]
  return dolor"
"def color_mapping(sample_map, header, group_column, color_column=None):
 
  """"""
 
  Determine color-category mapping. If color_column was specified, then map the category
 
  names to color values. Otherwise, use the palettable colors to automatically generate
 
  a set of colors for the group values.
 
 
 
  :type sample_map: dict
 
  :param unifracFN: Map associating each line of the mapping file with the appropriate
 
  sample ID (each value of the map also contains the sample ID)
 
 
 
  :type header: tuple
 
  :param A tuple of header line for mapping file
 
 
 
  :type group_column: str
 
  :param group_column: String denoting the column name for sample groups.
 
 
 
  :type color_column: str
 
  :param color_column: String denoting the column name for sample colors.
 
 
 
  :type return: dict
 
  :param return: {SampleID: Color}
 
  """"""
 
  group_colors = OrderedDict()
 
  group_gather = gather_categories(sample_map, header, [group_column])
 
 
 
  if color_column is not None:
 
  color_gather = gather_categories(sample_map, header, [color_column])
 
  # match sample IDs between color_gather and group_gather
 
  for group in group_gather:
 
  for color in color_gather:
 
  # allow incomplete assignment of colors, if group sids overlap at
 
  # all with the color sids, consider it a match
 
  if group_gather[group].sids.intersection(color_gather[color].sids):
 
  group_colors[group] = color
 
  else:
 
  bcolors = itertools.cycle(Set3_12.hex_colors)
 
  for group in group_gather:
 
  group_colors[group] = bcolors.next()
 
 
 
  return group_colors","Determine color-category mapping. If color_column was specified, then map the category
 
  names to color values. Otherwise, use the palettable colors to automatically generate
 
  a set of colors for the group values.
 
 
 
  :type sample_map: dict
 
  :param unifracFN: Map associating each line of the mapping file with the appropriate
 
  sample ID (each value of the map also contains the sample ID)
 
 
 
  :type header: tuple
 
  :param A tuple of header line for mapping file
 
 
 
  :type group_column: str
 
  :param group_column: String denoting the column name for sample groups.
 
 
 
  :type color_column: str
 
  :param color_column: String denoting the column name for sample colors.
 
 
 
  :type return: dict
 
  :param return: {SampleID: Color}","def lorem_ipsum(consectetur_adipiscing, elit, sed_do, eiusmod_tempor=None):
  dolor_sit = OrderedDict()
  amet_consectetur = gather_categories(consectetur_adipiscing, elit, [sed_do])
 
  if eiusmod_tempor is not None:
  incididunt_ut_labore = gather_categories(consectetur_adipiscing, elit, [eiusmod_tempor])
  for labore in amet_consectetur:
  for dolore in incididunt_ut_labore:
  if amet_consectetur[labore].sids.intersection(incididunt_ut_labore[dolore].sids):
  dolor_sit[labore] = dolore
  else:
  magna_aliqua = itertools.cycle(Set3_12.hex_colors)
  for labore in amet_consectetur:
  dolor_sit[labore] = magna_aliqua.next()
 
  return dolor_sit"
"def rev_c(read):
 
  """"""
 
  return reverse completment of read
 
  """"""
 
  rc = []
 
  rc_nucs = {'A':'T', 'T':'A', 'G':'C', 'C':'G', 'N':'N'}
 
  for base in read:
 
  rc.extend(rc_nucs[base.upper()])
 
  return rc[::-1]",return reverse completment of read,"def nonsensical_name(read):
  rc = []
  rc_nucs = {'A':'T', 'T':'A', 'G':'C', 'C':'G', 'N':'N'}
  for base in read:
  rc.extend(rc_nucs[base.upper()])
  return rc[::-1]"
"def shuffle_genome(genome, cat, fraction = float(100), plot = True, \
 
  alpha = 0.1, beta = 100000, \
 
  min_length = 1000, max_length = 200000):
 
  """"""
 
  randomly shuffle genome
 
  """"""
 
  header = '>randomized_%s' % (genome.name)
 
  sequence = list(''.join([i[1] for i in parse_fasta(genome)]))
 
  length = len(sequence)
 
  shuffled = []
 
  # break genome into pieces
 
  while sequence is not False:
 
  s = int(random.gammavariate(alpha, beta))
 
  if s <= min_length or s >= max_length:
 
  continue
 
  if len(sequence) < s:
 
  seq = sequence[0:]
 
  else:
 
  seq = sequence[0:s]
 
  sequence = sequence[s:]
 
 # if bool(random.getrandbits(1)) is True:
 
 # seq = rev_c(seq)
 
 # print('fragment length: %s reverse complement: True' % ('{:,}'.format(s)), file=sys.stderr)
 
 # else:
 
 # print('fragment length: %s reverse complement: False' % ('{:,}'.format(s)), file=sys.stderr)
 
  shuffled.append(''.join(seq))
 
  if sequence == []:
 
  break
 
  # shuffle pieces
 
  random.shuffle(shuffled)
 
  # subset fragments
 
  if fraction == float(100):
 
  subset = shuffled
 
  else:
 
  max_pieces = int(length * fraction/100)
 
  subset, total = [], 0
 
  for fragment in shuffled:
 
  length = len(fragment)
 
  if total + length <= max_pieces:
 
  subset.append(fragment)
 
  total += length
 
  else:
 
  diff = max_pieces - total
 
  subset.append(fragment[0:diff])
 
  break
 
  # combine sequences, if requested
 
  if cat is True:
 
  yield [header, ''.join(subset)]
 
  else:
 
  for i, seq in enumerate(subset):
 
  yield ['%s fragment:%s' % (header, i), seq]",randomly shuffle genome,"def lorem_ipsum(genome, cat, fraction = float(100), plot = True, \
  alpha = 0.1, beta = 100000, \
  min_length = 1000, max_length = 200000):
 
  header = '>randomized_%s' % (genome.name)
  sequence = list(''.join([i[1] for i in parse_fasta(genome)]))
  length = len(sequence)
  shuffled = []
 
  while sequence is not False:
  s = int(random.gammavariate(alpha, beta))
  if s <= min_length or s >= max_length:
  continue
  if len(sequence) < s:
  seq = sequence[0:]
  else:
  seq = sequence[0:s]
  sequence = sequence[s:]
 
  shuffled.append(''.join(seq))
  if sequence == []:
  break
 
  random.shuffle(shuffled)
 
  if fraction == float(100):
  subset = shuffled
  else:
  max_pieces = int(length * fraction/100)
  subset, total = [], 0
  for fragment in shuffled:
  length = len(fragment)
  if total + length <= max_pieces:
  subset.append(fragment)
  total += length
  else:
  diff = max_pieces - total
  subset.append(fragment[0:diff])
  break
 
  if cat is True:
  yield [header, ''.join(subset)]
  else:
  for i, seq in enumerate(subset):
  yield ['%s fragment:%s' % (header, i), seq]"
