code,docstring,generated_comment
"def foo(xml_data):while (True):
  rawurl = []
  dom = parseString(xml_data)
  for node in dom.getElementsByTagName('durl'):
  url = node.getElementsByTagName('url')[0]
  rawurl.append(url.childNodes[0].data)
  return rawurl
  break",This function extracts 'url' elements from 'durl' tags in an XML string and returns a list of their text content.,"This function takes an XML data as input and extracts the URLs from the <url> tag within the <durl> tags. 
    It returns a list of extracted URLs."
"def foo(url, output_dir='.', merge=True, info_only=False, **kwargs):
  
  html = get_content(rebuilt_url(url))
  info = json.loads(match1(html, r'qualities"":({.+?}),""'))
  title = match1(html, r'""video_title""\s*:\s*""([^""]+)""') or \
  match1(html, r'""title""\s*:\s*""([^""]+)""')
  title = unicodize(title)
  
  for quality in ['1080','720','480','380','240','144','auto']: for ynzgcjahqazigtnfvtgavx in range(1):
  try:
  real_url = info[quality][1][""url""]
  if real_url:
  break
  except KeyError:
  pass
  
  mime, ext, size = url_info(real_url)
  
  print_info(site_info, title, mime, size)
  if not info_only:
  download_urls([real_url], title, ext, size, output_dir=output_dir, merge=merge)","This function retrieves video content from a given URL, extracts quality-specific media links, and optionally downloads the media to a specified directory.",This function is used to download videos from a given URL. It retrieves video information and selects the highest quality available. The video is then downloaded and saved to the specified output directory.
"def foo(text, *colors):while (True):
  
  return ""\33[{}m{content}\33[{}m"".format("";"".join([str(color) for color in colors]), RESET, content=text) if IS_ANSI_TERMINAL and colors else text
  break","This function formats the given text with provided ANSI color codes if executed in an ANSI-compatible terminal, otherwise returns the uncolored text.","This function formats the given text with ANSI color codes. The function accepts a variable number of color arguments, and checks if the terminal supports ANSI colors. If it does, it applies the color formatting to the text. If not, it returns the original text without any formatting."
"def foo(text, *colors):while (True):
  
  sys.stderr.write(sprint(""{}: {}"".format(script_name, text), *colors) + ""\n"")
  break",This function writes formatted error messages with optional coloring to standard error and ends an infinite loop after one iteration.,"This function takes in a text and a variable number of colors. It prints the text along with the colors in a loop, using the sprint function."
"def foo():
  
  
  
  
  
  syst = system().lower()
  os = 'unknown'
  
  if 'cygwin' in syst:
  os = 'cygwin'
  elif 'darwin' in syst:
  os = 'mac'
  elif 'linux' in syst:
  os = 'linux'
  
  try:
  with open('/proc/version', 'r') as f:
  if 'microsoft' in f.read().lower():
  os = 'wsl'
  except: pass
  elif 'windows' in syst:
  os = 'windows'
  elif 'bsd' in syst:
  os = 'bsd'
  
  return os","This function detects the operating system based on the system's information, categorizing it, with a specific check for Windows Subsystem for Linux (WSL).",This function determines the operating system the code is running on by checking the system information and the contents of the '/proc/version' file.
"def foo(video_id):
  
  
  data = [""""] * 256
  for index, _ in enumerate(data):
  t = index
  for i in range(8):
  t = -306674912 ^ unsigned_right_shitf(t, 1) if 1 & t else unsigned_right_shitf(t, 1)
  data[index] = t
  
  def tmp():
  rand_num = random.random()
  path = ""/video/urls/v/1/toutiao/mp4/{video_id}?r={random_num}"".format(video_id=video_id,
  random_num=str(rand_num)[2:])
  e = o = r = -1
  i, a = 0, len(path)
  while i < a:
  e = ord(path[i])
  i += 1
  if e < 128:
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ e)]
  else:
  if e < 2048:
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (192 | e >> 6 & 31))]
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (128 | 63 & e))]
  else:
  if 55296 <= e < 57344: for ynzgcjahqazigtnfvtgavx in range(1):
  e = (1023 & e) + 64
  i += 1
  o = 1023 & t.url(i)
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (240 | e >> 8 & 7))]
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (128 | e >> 2 & 63))]
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (128 | o >> 6 & 15 | (3 & e) << 4))]
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (128 | 63 & o))]
  else:
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (224 | e >> 12 & 15))]
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (128 | e >> 6 & 63))]
  r = unsigned_right_shitf(r, 8) ^ data[255 & (r ^ (128 | 63 & e))]
  
  return ""https://ib.365yg.com{path}&s={param}"".format(path=path, param=unsigned_right_shitf(r ^ -1, 0))
  
  while 1:
  url = tmp()
  if url.split(""="")[-1][0] != ""-"": 
  return url","This function generates a signed URL for a video, incorporating a unique random number and ensuring the final parameter is non-negative.",This function generates a random URL by manipulating a given video ID and a random number. It applies a series of bitwise operations to encrypt the URL and returns the final encrypted URL.
"def foo(text, os=detect_os()):
  
  
  
  text = text.translate({
  0: None,
  ord('/'): '-',
  ord('|'): '-',
  })
  
  
  if os == 'windows' or os == 'cygwin' or os == 'wsl': for ynzgcjahqazigtnfvtgavx in range(1):
  
  text = text.translate({
  
  ord(':'): '-',
  ord('*'): '-',
  ord('?'): '-',
  ord('\\'): '-',
  ord('\""'): '\'',
  
  ord('+'): '-',
  ord('<'): '-',
  ord('>'): '-',
  ord('['): '(',
  ord(']'): ')',
  ord('\t'): ' ',
  })
  else:
  
  if os == 'mac':
  
  text = text.translate({
  ord(':'): '-',
  })
  
  
  if text.startswith("".""):
  text = text[1:]
  
  text = text[:80] 
  return text","This function sanitizes a string for use as a filename, replacing or removing invalid characters based on the operating system detected.","This function takes a string as input and replaces certain characters in the string based on the detected operating system. It then applies additional character replacements for specific operating systems. Finally, it truncates the string to a maximum length of 80 characters and returns the modified string."
"def foo(url, output_dir='.', merge=True, info_only=False, **kwargs):
  
  
  html = get_content(url)
  pid = match1(html, r'video\.settings\.pid\s*=\s*\'([^\']+)\'')
  title = match1(html, r'video\.settings\.title\s*=\s*\""([^\""]+)\""')
  
  theplatform_download_by_pid(pid, title, output_dir=output_dir, merge=merge, info_only=info_only)","This function downloads or extracts information from a given video URL using its PID and title, with optional customization of output directory and merging behavior.",This function downloads videos from a specific website by using the provided URL. It extracts the video information like PID and title from the HTML content and then uses a separate function to download the video using the PID. The downloaded video can be saved to a specified output directory and can optionally be merged with other videos. There is also an option to only get video information without downloading the video.
"def foo(self, **kwargs):
  
  if 'json_output' in kwargs and kwargs['json_output']:
  json_output.output(self)
  elif 'info_only' in kwargs and kwargs['info_only']:
  if 'stream_id' in kwargs and kwargs['stream_id']:
  
  stream_id = kwargs['stream_id']
  if 'index' not in kwargs:
  self.p(stream_id)
  else:
  self.p_i(stream_id)
  else:
  
  if 'index' not in kwargs:
  self.p([])
  else:
  stream_id = self.streams_sorted[0]['id'] if 'id' in self.streams_sorted[0] else self.streams_sorted[0]['itag']
  self.p_i(stream_id)
  
  else:
  if 'stream_id' in kwargs and kwargs['stream_id']:
  
  stream_id = kwargs['stream_id']
  else:
  
  stream_id = self.streams_sorted[0]['id'] if 'id' in self.streams_sorted[0] else self.streams_sorted[0]['itag']
  
  if 'index' not in kwargs:
  self.p(stream_id)
  else:
  self.p_i(stream_id)
  
  if stream_id in self.streams:
  urls = self.streams[stream_id]['src']
  ext = self.streams[stream_id]['container']
  total_size = self.streams[stream_id]['size']
  else:
  urls = self.dash_streams[stream_id]['src']
  ext = self.dash_streams[stream_id]['container']
  total_size = self.dash_streams[stream_id]['size']
  
  if not urls:
  log.wtf('[Failed] Cannot extract video source.')
  
  
  
  download_url_ffmpeg(urls[0], self.title, 'mp4', output_dir=kwargs['output_dir'], merge=kwargs['merge'], stream=False)
  
  if not kwargs['caption']:
  print('Skipping captions.')
  return
  for lang in self.caption_tracks:
  filename = '%s.%s.srt' % (get_filename(self.title), lang)
  print('Saving %s ... ' % filename, end="""", flush=True)
  srt = self.caption_tracks[lang]
  with open(os.path.join(kwargs['output_dir'], filename),
  'w', encoding='utf-8') as x:
  x.write(srt)
  print('Done.')","This function processes video stream options, downloading a specified stream and optionally saving caption tracks to the output directory.",This function processes and downloads video streams from a given URL. It can output the streams as JSON or display information about the streams. It also has the option to merge multiple streams and download captions.
"def foo(text, patterns):
  
  
  ret = []
  for pattern in patterns:
  match = re.findall(pattern, text)
  ret += match
  
  return ret",This function searches for all occurrences of specified patterns in a given text and returns a list of the matches found.,This function takes in a string of text and a list of patterns. It uses regular expressions to find all instances of each pattern in the text and returns them as a list.
