code,docstring,generated_comment
"def foo(p, level=""s""):
  level = level+""__""
 
  result = p.split(level)
 
  return result[0]+level+result[1].split("";"")[0]","Return either the full or truncated version of a QIIME-formatted taxonomy string.
 
 
 
  :type p: str
 
  :param p: A QIIME-formatted taxonomy string: k__Foo; p__Bar; ...
 
 
 
  :type level: str
 
  :param level: The different level of identification are kingdom (k), phylum (p),
 
  class (c),order (o), family (f), genus (g) and species (s). If level is
 
  not provided, the default level of identification is species.
 
 
 
  :rtype: str
 
  :return: A QIIME-formatted taxonomy string up to the classification given
 
  by param level.","This function, named `foo`, takes in two parameters: `p` and `level`. The default value for `level` is set to ""s"". 

Inside the function, the `level` parameter is concatenated with two underscore characters to create a modified level. 

The input string `p` is then split using the modified level as the delimiter. This splits the string into two parts and stores them in the `result` variable.

The function then returns the concatenation of the first part of `result`, the modified level, and the first part of the second part of `result` (which is obtained by splitting the second part of `result` using a semicolon as the delimiter).

In simpler terms, this function takes a string `p` and splits it into two parts based on the provided level. It then returns a new string consisting of the first part, the modified level, and the first part of the second part (before a semicolon, if present)."
"def foo(d):

  if not os.path.exists(d):
 
  try:
 
  os.makedirs(d)
 
  except OSError as oe:
 
  # should not happen with os.makedirs
 
  # ENOENT: No such file or directory
 
  if os.errno == errno.ENOENT:
 
  msg = twdd(""""""One or more directories in the path ({}) do not exist. If
 
  you are specifying a new directory for output, please ensure
 
  all other directories in the path currently exist."""""")
 
  return msg.format(d)
 
  else:
 
  msg = twdd(""""""An error occurred trying to create the output directory
 
  ({}) with message: {}"""""")
 
  return msg.format(d, oe.strerror)","Check to make sure the supplied directory path does not exist, if so, create it. The
 
  method catches OSError exceptions and returns a descriptive message instead of
 
  re-raising the error.
 
 
 
  :type d: str
 
  :param d: It is the full path to a directory.
 
 
 
  :return: Does not return anything, but creates a directory path if it doesn't exist
 
  already.","The function `foo` is used to create a directory `d`, if it does not already exist. It takes a parameter `d`, which represents the desired directory path.

First, the function checks if the directory does not exist using the `os.path.exists` function. If this condition is true, it proceeds to create the directory.

Inside the `try` block, the function attempts to create the directory using the `os.makedirs` function. If the directory creation is successful, the function completes and does not return anything.

If an exception occurs while creating the directory, the code enters the `except` block. Within this block, it checks the specific type of error that occurred. In this case, it is checking for an `OSError` with the `errno.ENOENT` error number, which indicates that the parent directory of the desired directory does not exist.

If the error condition matches, the function generates a message explaining that one or more directories in the path do not exist. It suggests that if the output directory is intended to be new, all other directories in the path should already exist. The function then returns this error message, formatted with the directory path.

If the error condition does not match, it generates a message indicating that an error occurred while creating the output directory. It includes the directory path and the specific error message generated by the `OSError`. The function then returns this error message, formatted with the directory path and error message."
"def foo(fnh, mode=""rU""):
 
  handle = None
 
  if isinstance(fnh, file):
 
  if fnh.closed:
 
  raise ValueError(""Input file is closed."")
 
  handle = fnh
 
  elif isinstance(fnh, str):
 
  handle = open(fnh, mode)
 
 
 
  return handle","Takes either a file path or an open file handle, checks validity and returns an open
 
  file handle or raises an appropriate Exception.
 
 
 
  :type fnh: str
 
  :param fnh: It is the full path to a file, or open file handle
 
 
 
  :type mode: str
 
  :param mode: The way in which this file will be used, for example to read or write or
 
  both. By default, file will be opened in rU mode.
 
 
 
  :return: Returns an opened file for appropriate usage.","This function, named ""foo"", takes two arguments: ""fnh"" and ""mode"", with a default value of ""rU"". The purpose of this function is to open a file and return a file handle. 

First, a variable named ""handle"" is initialized to None. 

Then, the function checks if the ""fnh"" argument is of type ""file"" using the ""isinstance()"" function. If it is, the function checks if the file is closed using the ""closed"" attribute. If the file is closed, a ValueError is raised with the message ""Input file is closed."". If the file is not closed, the ""handle"" variable is assigned the value of ""fnh"". 

If the ""fnh"" argument is not of type ""file"", the function checks if it is of type ""str"" using the ""isinstance()"" function. If it is, the function opens the file specified by ""fnh"" with the given mode (""rU"" by default) using the ""open()"" function, and assigns the resulting file handle to the ""handle"" variable. 

Finally, the function returns the file handle stored in the ""handle"" variable."
"def foo(imap, header, categories=None):

 
  if categories is None:
 
  return {""default"": DataCategory(set(imap.keys()), {})}
 
 
 
  cat_ids = [header.index(cat)
 
  for cat in categories if cat in header and ""="" not in cat]
 
 
 
  table = OrderedDict()
 
  conditions = defaultdict(set)
 
  for i, cat in enumerate(categories):
 
  if ""="" in cat and cat.split(""="")[0] in header:
 
  cat_name = header[header.index(cat.split(""="")[0])]
 
  conditions[cat_name].add(cat.split(""="")[1])

  if not cat_ids and not conditions:
 
  return {""default"": DataCategory(set(imap.keys()), {})}
 

  if cat_ids and not conditions:
 
  for sid, row in imap.items():
 
  cat_name = ""_"".join([row[cid] for cid in cat_ids])
 
  if cat_name not in table:
 
  table[cat_name] = DataCategory(set(), {})
 
  table[cat_name].sids.add(sid)
 
  return table
 
ct all condition names
 
  cond_ids = set()
 
  for k in conditions:
 
  try:
 
  cond_ids.add(header.index(k))
 
  except ValueError:
 
  continue
 
  idx_to_test = set(cat_ids).union(cond_ids)

 
  for sid, row in imap.items():
 
  if all([row[header.index(c)] in conditions[c] for c in conditions]):
 
  key = ""_"".join([row[idx] for idx in idx_to_test])
 
  try:
 
  assert key in table.keys()
 
  except AssertionError:
 
  table[key] = DataCategory(set(), {})
 
  table[key].sids.add(sid)
 
  try:
 
  assert len(table) > 0
 
  except AssertionError:
 
  return {""default"": DataCategory(set(imap.keys()), {})}
 
  else:
 
  return table","Find the user specified categories in the map and create a dictionary to contain the
 
  relevant data for each type within the categories. Multiple categories will have their
 
  types combined such that each possible combination will have its own entry in the
 
  dictionary.
 
 
 
  :type imap: dict
 
  :param imap: The input mapping file data keyed by SampleID
 
  :type header: list
 
  :param header: The header line from the input mapping file. This will be searched for
 
  the user-specified categories
 
  :type categories: list
 
  :param categories: The list of user-specified category column name from mapping file
 
  :rtype: dict
 
  :return: A sorted dictionary keyed on the combinations of all the types found within
 
  the user-specified categories. Each entry will contain an empty DataCategory
 
  namedtuple. If no categories are specified, a single entry with the key
 
  'default' will be returned","The `foo` function takes in an `imap` (dictionary representing some data), `header` (list of column names), and `categories` (optional list of categories).

If `categories` is not provided, a default data category is created with all the keys from `imap` and an empty category dictionary.

If `categories` is provided, the function checks for valid category names (column names in `header` without ""="") and stores their indices in `cat_ids`. It also creates an empty ordered dictionary called `table` to store the resulting data categories.

If there are no valid category names (`cat_ids`) and no conditions (`conditions`), the function returns the default data category.

If there are valid category names but no conditions, the function iterates through each row in `imap` and creates a category name by joining the values from the valid category indices in `cat_ids`. It then adds the row to the corresponding category in the `table` dictionary. Finally, it returns the `table`.

If there are both valid category names and conditions, the function determines the indices of the condition names in `header`. It creates a set `idx_to_test` which contains both the valid category indices and the condition indices. It then iterates through each row in `imap` and checks if all the conditions are satisfied. If they are, it creates a key by joining the values from the indices in `idx_to_test`, and adds the row to the corresponding category in the `table` dictionary. If the `table` dictionary is empty, the function returns the default data category. Otherwise, it returns the `table`."
"def foo(unifracFN):
 
  with open(unifracFN, ""rU"") as uF:
 
  first = uF.next().split(""\t"")
 
  lines = [line.strip() for line in uF]
 
 
 
  unifrac = {""pcd"": OrderedDict(), ""eigvals"": [], ""varexp"": []}
 
  if first[0] == ""pc vector number"":
 
  return parse_unifrac_v1_8(unifrac, lines)
 
  elif first[0] == ""Eigvals"":
 
  return parse_unifrac_v1_9(unifrac, lines)
 
  else:
 
  raise ValueError(""File format not supported/recognized. Please check input ""
 
  ""unifrac file."")","Parses the unifrac results file into a dictionary
 
 
 
  :type unifracFN: str
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :rtype: dict
 
  :return: A dictionary with keys: 'pcd' (principle coordinates data) which is a
 
  dictionary of the data keyed by sample ID, 'eigvals' (eigenvalues), and
 
  'varexp' (variation explained)","This function takes a filename as input and reads the contents of the specified file. 
The file is expected to be in a specific format, either version 1.8 or 1.9 of the unifrac file format. 
The function then parses the contents of the file and extracts relevant data, including PC vectors, eigenvalues, and variance explained values. 
The parsed data is stored in a dictionary called 'unifrac', with the PC vectors being stored in an ordered dictionary. 
If the file format is not recognized or supported, a ValueError is raised."
"def foo(unifrac, file_data):
  for line in file_data:
 
  if line == """":
 
  break
 
  line = line.split(""\t"")
 
  unifrac[""pcd""][line[0]] = [float(e) for e in line[1:]]
 
 
 
  unifrac[""eigvals""] = [float(entry) for entry in file_data[-2].split(""\t"")[1:]]
 
  unifrac[""varexp""] = [float(entry) for entry in file_data[-1].split(""\t"")[1:]]
 
  return unifrac","Function to parse data from older version of unifrac file obtained from Qiime version
 
  1.8 and earlier.
 
 
 
  :type unifrac: dict
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :type file_data: list
 
  :param file_data: Unifrac data lines after stripping whitespace characters.","This function takes two parameters: 'unifrac' and 'file_data'.

The function iterates over each line in the 'file_data' parameter.

If the line is an empty string, the iteration is stopped and the function returns.

The line is then split into a list using the tab character as the delimiter.

The values in the line, starting from index 1, are converted to float and assigned to the 'unifrac' dictionary under the key 'pcd' with the corresponding line[0] value as the sub-key.

The 'unifrac' dictionary is then updated with two additional keys: 'eigvals' and 'varexp'. These keys are assigned lists of floats, obtained by splitting the second-to-last and last lines of 'file_data' into lists using the tab character as the delimiter.

Finally, the 'unifrac' dictionary is returned."
"def foo(unifrac, file_data):
  unifrac[""eigvals""] = [float(entry) for entry in file_data[0].split(""\t"")]
 
  unifrac[""varexp""] = [float(entry)*100 for entry in file_data[3].split(""\t"")]
 
 
 
  for line in file_data[8:]:
 
  if line == """":
 
  break
 
  line = line.split(""\t"")
 
  unifrac[""pcd""][line[0]] = [float(e) for e in line[1:]]
 
  return unifrac","Function to parse data from newer version of unifrac file obtained from Qiime version
 
  1.9 and later.
 
 
 
  :type unifracFN: str
 
  :param unifracFN: The path to the unifrac results file
 
 
 
  :type file_data: list
 
  :param file_data: Unifrac data lines after stripping whitespace characters.","This function takes in two parameters: ""unifrac"" and ""file_data"". The ""unifrac"" parameter is a dictionary that will store the results obtained from processing the ""file_data"" parameter.

The first line of code converts the first element of ""file_data"" into a list of floating-point numbers and assigns it to the ""eigvals"" key in the ""unifrac"" dictionary.

The second line of code does a similar conversion, but it also multiplies each element by 100. The resulting list is assigned to the ""varexp"" key in the ""unifrac"" dictionary.

The for loop iterates over the elements in ""file_data"" starting from the 8th element. It checks if the line is an empty string and if so, breaks out of the loop.

If the line is not empty, it is split into a list of values using the tab (\t) as the delimiter.

The first element of the split line is used as the key in the ""pcd"" dictionary within the ""unifrac"" dictionary. The remaining elements are converted to floating-point numbers and stored as the values corresponding to the key.

Finally, the updated ""unifrac"" dictionary is returned as the output of the function."
"def foo(sample_map, header, group_column, color_column=None):
 
  group_colors = OrderedDict()
 
  group_gather = gather_categories(sample_map, header, [group_column])
 
 
 
  if color_column is not None:
 
  color_gather = gather_categories(sample_map, header, [color_column])
 
  # match sample IDs between color_gather and group_gather
 
  for group in group_gather:
 
  for color in color_gather:
 
  # allow incomplete assignment of colors, if group sids overlap at
 
  # all with the color sids, consider it a match
 
  if group_gather[group].sids.intersection(color_gather[color].sids):
 
  group_colors[group] = color
 
  else:
 
  bcolors = itertools.cycle(Set3_12.hex_colors)
 
  for group in group_gather:
 
  group_colors[group] = bcolors.next()
 
 
 
  return group_colors","Determine color-category mapping. If color_column was specified, then map the category
 
  names to color values. Otherwise, use the palettable colors to automatically generate
 
  a set of colors for the group values.
 
 
 
  :type sample_map: dict
 
  :param unifracFN: Map associating each line of the mapping file with the appropriate
 
  sample ID (each value of the map also contains the sample ID)
 
 
 
  :type header: tuple
 
  :param A tuple of header line for mapping file
 
 
 
  :type group_column: str
 
  :param group_column: String denoting the column name for sample groups.
 
 
 
  :type color_column: str
 
  :param color_column: String denoting the column name for sample colors.
 
 
 
  :type return: dict
 
  :param return: {SampleID: Color}","This code defines a function called ""foo"" that takes in a ""sample_map"", a ""header"", a ""group_column"", and an optional ""color_column"" as input arguments. 

The function first creates an empty ordered dictionary called ""group_colors"" to store the grouping information. 

Then, it calls a helper function called ""gather_categories"" to gather the unique categories in the ""group_column"" of the ""sample_map"" and store it in a variable called ""group_gather"".

If a ""color_column"" is provided, the function also calls the ""gather_categories"" function to gather the unique categories in the ""color_column"" and store it in a variable called ""color_gather"". 

Next, the code iterates over the unique groups in ""group_gather"" and checks if there is a corresponding group in ""color_gather"" that intersects with the group in ""group_gather"". If there is a match, it assigns the color of that group in ""color_gather"" to the corresponding group in ""group_gather"" and adds it to the ""group_colors"" dictionary.

If there is no match, the code assigns a unique color from the ""Set3_12.hex_colors"" list to each group in ""group_gather"" using the ""itertools.cycle"" function.

Finally, the function returns the ""group_colors"" dictionary, which contains the assigned colors for each group.

Overall, this function takes in a sample map, along with grouping and color columns, and assigns colors to each group in the grouping column based on the colors found in the color column (if provided) or assigns unique colors if there is no match."
"def foo(read):
 
  rc = []
 
  rc_nucs = {'A':'T', 'T':'A', 'G':'C', 'C':'G', 'N':'N'}
 
  for base in read:
 
  rc.extend(rc_nucs[base.upper()])
 
  return rc[::-1]",return reverse completment of read,"This code defines a function called ""foo"" that takes in a DNA sequence as input. The function's purpose is to generate the reverse complement of the input sequence. 

The function starts by initializing an empty list called ""rc"" to store the reverse complement nucleotides. 

Next, a dictionary called ""rc_nucs"" is created, mapping each nucleotide to its corresponding complement. 

A for loop is then used to iterate through each base in the input sequence. Within the loop, the function retrieves the complement of the current base using the dictionary ""rc_nucs"" and appends it to the ""rc"" list. 

Finally, the function returns the reverse of the ""rc"" list, which effectively gives the reverse complement of the input DNA sequence."
"def foo(genome, cat, fraction = float(100), plot = True, \
 
  alpha = 0.1, beta = 100000, \
 
  min_length = 1000, max_length = 200000):
 
  header = '>randomized_%s' % (genome.name)
 
  sequence = list(''.join([i[1] for i in parse_fasta(genome)]))
 
  length = len(sequence)
 
  shuffled = []
 
  # break genome into pieces
 
  while sequence is not False:
 
  s = int(random.gammavariate(alpha, beta))
 
  if s <= min_length or s >= max_length:
 
  continue
 
  if len(sequence) < s:
 
  seq = sequence[0:]
 
  else:
 
  seq = sequence[0:s]
 
  sequence = sequence[s:]
 
 # if bool(random.getrandbits(1)) is True:
 
 # seq = rev_c(seq)
 
 # print('fragment length: %s reverse complement: True' % ('{:,}'.format(s)), file=sys.stderr)
 
 # else:
 
 # print('fragment length: %s reverse complement: False' % ('{:,}'.format(s)), file=sys.stderr)
 
  shuffled.append(''.join(seq))
 
  if sequence == []:
 
  break
 
  # shuffle pieces
 
  random.shuffle(shuffled)
 
  # subset fragments
 
  if fraction == float(100):
 
  subset = shuffled
 
  else:
 
  max_pieces = int(length * fraction/100)
 
  subset, total = [], 0
 
  for fragment in shuffled:
 
  length = len(fragment)
 
  if total + length <= max_pieces:
 
  subset.append(fragment)
 
  total += length
 
  else:
 
  diff = max_pieces - total
 
  subset.append(fragment[0:diff])
 
  break
 
  # combine sequences, if requested
 
  if cat is True:
 
  yield [header, ''.join(subset)]
 
  else:
 
  for i, seq in enumerate(subset):
 
  yield ['%s fragment:%s' % (header, i), seq]",randomly shuffle genome,"The function `foo` takes several input parameters: `genome` (which represents a genome object), `cat` (a boolean value indicating whether to combine the generated sequences into one), `fraction` (a float value representing the percentage of the genome to retain), `plot` (a boolean value indicating whether to plot the results), `alpha` and `beta` (parameters for the gamma distribution used to generate fragment lengths), and `min_length` and `max_length` (to set the minimum and maximum fragment lengths).

The function starts by creating a header string for the output sequences, using the name of the input genome.

Next, it converts the genome sequence into a list of characters.

Then, it loops until the sequence is exhausted. It randomly selects a fragment length using the gamma distribution parameters and checks if it falls within the specified min_length and max_length criteria. If not, it continues to the next iteration. If the remaining sequence is shorter than the selected fragment length, it takes the remaining sequence as the fragment. Otherwise, it selects the sequence from the beginning to the selected length and updates the remaining sequence by removing that portion.

The code then shuffles the generated fragments using the `random.shuffle` function.

If the `fraction` parameter is set to 100, it sets the `subset` variable to contain all the shuffled fragments. Otherwise, it calculates the maximum number of pieces allowed based on the fraction and selects fragments accordingly. If the total length of the selected fragments exceeds the maximum, it trims the last fragment to fit the specified maximum.

Finally, if the `cat` parameter is True, it yields a single sequence with the header and combined fragments. Otherwise, it yields individual sequences with headers representing the original genome name and fragment number.

If the `plot` parameter is True, the code also plots the results."
